true_label,pred_label,text_len,text_excerpt
Discussion,Analysis,2129,"A dark part WallStreetBets history, and why it's important... founder attempted to monetize the sub for personal gains (meta rant/PSA)"
Hype,Analysis,4301,Let's revive WSB culture! GME to THOUSANDS or I'M SHAVING MY BEARD! handcrafted TA comparing VW/TSLA to GME (bet+rally w/ TA framing)
Hype,Analysis,4049,"I feel like clarification is needed about Today... squeeze mechanics, hedgefunds bleeding (reassurance/morale)"
Hype,Analysis,399,"Betting on BTC to crash by end of week. 'No analysis, came to me in a dream.' Puts on COIN/PLTR, purely on vibes"
Hype,Analysis,2363,Shorting SpaceX Tomorrow: Blue Origin Blew Up Its Own Rocket To Pump SpaceX (conspiracy theory + own short)
Analysis,Hype,309,Yen Tsunami Coming. Japan to sell $1.21T US treasuries -> buying UVXY calls (causal chain + position; borderline)
Discussion,Analysis,4161,WHY YOU SHOULD NOT FALL FOR SILVER SCAMS. 'META THREAD... ranting and linking to other DD threads' (rant/PSA)
Hype,Analysis,3672,"Why $UWMC is most definitely the play. 'I just like the stock', FOMO vs RKT (own position/FOMO)"
Discussion,Hype,77,Citadel reloaded their shorts before they told Robinhood to stop trading $GME (title-only claim)
Hype,Analysis,367,Companies that will benefit from AI/data centers. 'compiled a list (on paper)... 5 will be up 300%... don't take my advice'
Discussion,Analysis,658,Closed frontiers vs Open source. How can IPOs be justified...? (question/opinion; garbled OCR image post)
Discussion,Analysis,1802,"It's time for a government bailout of GME shareholders at $10,000/share... 2008 systemic-risk analogy (opinion/proposal)"
